type,properties,id,yolo_pred,Confidence,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 5.036618709564209, ""confidence"": 0.99699997901916504 }",47,3,0.8867,187.79443619474168,56.86085650637038,440514.9949922261,4463985.829815645,201.0774499727549,60.8826856623305,0.76568,3,2
Feature,"{ ""height"": 5.0421314239501953, ""confidence"": 0.97689998149871804 }",63,3,0.9046,250.65115772412557,69.54835824558945,440490.99161032424,4463780.254094018,203.6999829698874,61.26115229012572,0.73788,3,2
Feature,"{ ""height"": 4.3059468269348145, ""confidence"": 0.99949997663497903 }",69,3,0.907,198.21238799355035,63.465734306357135,441557.11065833474,4463116.930656954,223.23572828992502,65.38340811598785,0.9014000000000001,3,1
Feature,"{ ""height"": 5.2187128067016602, ""confidence"": 0.97380000352859508 }",71,3,0.681,86.88217216004577,37.29363203940002,441339.50063305185,4462709.643840531,136.0467670326309,50.37267253786122,0.8123400000000001,3,1
Feature,"{ ""height"": 1.4707602262496939, ""confidence"": 1.0 }",76,2,0.2682,34.529987066705296,24.463680029288284,440501.16925791476,4463812.701669579,220.51779301597844,64.98124250372895,0.8646,3,2
Feature,"{ ""height"": 5.8452529907226562, ""confidence"": 0.99180001020431507 }",148,3,0.9064,246.86550253160704,68.66098596650923,443113.85987225175,4463432.572077459,251.26998529385827,67.97796357798362,0.89314,3,4
Feature,"{ ""height"": 4.7317380905151367, ""confidence"": 0.97530001401901212 }",169,3,0.8083,246.5819202171603,79.32962676251931,440445.46859583835,4463891.560065317,179.748669646803,53.84832386396219,0.7567999999999999,3,2
Feature,"{ ""height"": 5.2039108276367188, ""confidence"": 0.99699997901916504 }",194,3,0.937,203.68357322759107,60.76663996456105,440477.189741757,4463109.322473246,213.02027329140273,62.29933448774163,0.6989400000000001,3,1
Feature,"{ ""height"": 5.8751645088195801, ""confidence"": 0.95590001344680708 }",225,3,0.3666,157.079846453814,50.49164265957018,440445.73216486,4464138.193790525,226.7106168988802,66.1126310188928,0.8547399999999999,3,2
Feature,"{ ""height"": 4.9444088935852051, ""confidence"": 0.98489999771118109 }",243,1,0.102,1374.4476470401708,154.34920070641206,440176.416699812,4463517.3565804465,175.51422872626756,56.0202481696531,0.7399,3,3
Feature,"{ ""height"": 3.2003788948059082, ""confidence"": 0.99730002880096402 }",263,3,0.7035,136.58903251626907,46.85072226581655,441643.22870057926,4462678.44308738,232.00458161216676,66.54233852325135,0.8922999999999999,3,1
Feature,"{ ""height"": 4.0150532722473136, ""confidence"": 0.96549999713897705 }",269,3,0.8915,175.21395870201704,56.23683642186625,440768.1692829954,4464040.430570786,184.2406267998696,57.618303366596855,0.90624,3,2
Feature,"{ ""height"": 3.5762453079223628, ""confidence"": 0.98360002040863004 }",301,3,0.9031,237.3263639164596,68.70189880602801,441503.3555054325,4462826.642136051,106.10427086037805,40.941097225628866,0.78018,3,1
Feature,"{ ""height"": 4.3905839920043936, ""confidence"": 1.0 }",303,3,0.9092,196.62443488465968,56.851874197984344,440551.7905724779,4462995.834261241,197.165188992953,59.45456876632941,0.7515,3,1
Feature,"{ ""height"": 4.8963522911071777, ""confidence"": 0.99099999666213912 }",320,3,0.6119,205.893434326676,64.55918614038677,440562.5304452944,4463290.212570084,193.52791963747512,59.00804187806885,0.7670600000000001,3,1
