Source_File,Class_ID,Class_Name,Confidence,Normalized_X_Center,Normalized_Y_Center,Normalized_Width,Normalized_Height
1044.png,3,Residential,0.8296,0.473144,0.904805,0.432581,0.189898
1044.png,3,Residential,0.648,0.49731,0.496926,0.362161,0.474381
1065.png,3,Residential,0.8911,0.500172,0.459488,0.364343,0.450801
1078.png,3,Residential,0.9107,0.491896,0.478635,0.494386,0.360941
1078.png,3,Residential,0.8593,0.111734,0.262336,0.223467,0.507356
1078.png,3,Residential,0.189,0.567657,0.095706,0.30985,0.185917
1115.png,3,Residential,0.9211,0.506793,0.487573,0.404522,0.379071
1115.png,3,Residential,0.887,0.124831,0.542414,0.249661,0.279424
1115.png,3,Residential,0.8409,0.902904,0.408688,0.192968,0.567799
1149.png,2,Commercial,0.2352,0.676786,0.585364,0.609379,0.687539
1173.png,3,Residential,0.8649,0.306221,0.25558,0.608217,0.497516
1173.png,3,Residential,0.7127,0.843156,0.373086,0.311943,0.679531
1176.png,3,Residential,0.8078,0.451667,0.43733,0.292741,0.321752
1176.png,3,Residential,0.5362,0.527745,0.105509,0.383388,0.209165
1176.png,3,Residential,0.1694,0.530707,0.077042,0.401355,0.151149
1211.png,3,Residential,0.8776,0.515845,0.481623,0.411362,0.47994
1251.png,3,Residential,0.9154,0.481754,0.500688,0.497356,0.414982
1251.png,3,Residential,0.8822,0.902119,0.5903,0.194915,0.406627
1251.png,3,Residential,0.8077,0.04548,0.535174,0.090735,0.420091
1270.png,3,Residential,0.9267,0.184764,0.172155,0.352108,0.336856
1270.png,3,Residential,0.886,0.48616,0.498945,0.445208,0.429789
1270.png,3,Residential,0.8798,0.830605,0.809706,0.33152,0.376875
1274.png,3,Residential,0.9063,0.14627,0.887455,0.29254,0.219124
1274.png,3,Residential,0.8017,0.473845,0.491331,0.498313,0.482194
1274.png,3,Residential,0.6731,0.92729,0.361219,0.14542,0.246896
1274.png,3,Residential,0.1089,0.035368,0.635118,0.070737,0.256319
1283.png,3,Residential,0.9099,0.741518,0.865974,0.456989,0.268052
1283.png,3,Residential,0.9032,0.469897,0.472938,0.434234,0.402881
1283.png,3,Residential,0.7648,0.332439,0.743846,0.335464,0.276606
1283.png,3,Residential,0.6988,0.343424,0.103371,0.367834,0.205703
1290.png,3,Residential,0.9,0.498466,0.481385,0.476461,0.440318
1290.png,3,Residential,0.3618,0.091308,0.564229,0.182616,0.431128
1290.png,3,Residential,0.1137,0.091092,0.630066,0.182185,0.299819
1303.png,3,Residential,0.5044,0.460139,0.452713,0.508051,0.426784
1303.png,3,Residential,0.3064,0.957586,0.80788,0.084829,0.222008
1376.png,3,Residential,0.893,0.49794,0.468162,0.553803,0.562822
1376.png,3,Residential,0.6858,0.83729,0.130016,0.30627,0.260031
1384.png,3,Residential,0.9016,0.8635,0.461572,0.272651,0.448064
1384.png,3,Residential,0.8038,0.466942,0.421724,0.462488,0.285034
1384.png,3,Residential,0.6941,0.109314,0.405109,0.218628,0.346353
1410.png,3,Residential,0.8101,0.502064,0.47742,0.436111,0.411364
1410.png,3,Residential,0.1883,0.260323,0.983192,0.394685,0.032729
1449.png,3,Residential,0.8931,0.497452,0.47414,0.489726,0.326446
1449.png,3,Residential,0.8384,0.932347,0.485717,0.13491,0.475973
1449.png,3,Residential,0.5915,0.089962,0.429403,0.179924,0.53724
1449.png,3,Residential,0.3792,0.097133,0.500754,0.194266,0.389821
1449.png,3,Residential,0.1027,0.948614,0.076357,0.102773,0.152713
1454.png,3,Residential,0.8836,0.394933,0.490514,0.611694,0.51633
1457.png,3,Residential,0.914,0.489797,0.476194,0.43668,0.390913
1457.png,3,Residential,0.811,0.89217,0.503853,0.214753,0.304147
1457.png,3,Residential,0.7807,0.052012,0.413402,0.103977,0.544885
1474.png,3,Residential,0.9096,0.494562,0.525695,0.446194,0.359918
1474.png,3,Residential,0.7663,0.888618,0.695745,0.222205,0.293373
148.png,3,Residential,0.8948,0.507233,0.493332,0.422595,0.464247
148.png,3,Residential,0.8401,0.465008,0.912328,0.325734,0.174484
148.png,3,Residential,0.7949,0.534724,0.103155,0.464762,0.20631
1504.png,3,Residential,0.9031,0.477352,0.483773,0.506956,0.410484
1504.png,3,Residential,0.8872,0.550544,0.91065,0.288618,0.1787
1540.png,3,Residential,0.7867,0.540765,0.9038,0.368483,0.192401
1540.png,3,Residential,0.7415,0.469513,0.491422,0.438819,0.50132
1584.png,3,Residential,0.7169,0.472204,0.476654,0.605836,0.425524
1584.png,0,Apartment,0.572,0.477151,0.485766,0.618417,0.43167
1584.png,3,Residential,0.217,0.015915,0.416941,0.031831,0.482055
1596.png,3,Residential,0.9084,0.508104,0.478989,0.437129,0.443072
1596.png,3,Residential,0.809,0.116478,0.429538,0.232957,0.312848
1596.png,3,Residential,0.7396,0.914986,0.41295,0.170029,0.293318
1606.png,3,Residential,0.848,0.491993,0.483129,0.454496,0.39999
1606.png,3,Residential,0.5453,0.056682,0.513941,0.113363,0.333253
1606.png,3,Residential,0.3894,0.123342,0.510006,0.246684,0.331128
1606.png,3,Residential,0.1593,0.901307,0.470324,0.192431,0.437989
1619.png,3,Residential,0.9059,0.466281,0.478934,0.374691,0.442686
1619.png,3,Residential,0.8979,0.537309,0.894989,0.338194,0.210021
