epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31164,3.24432,4.19887,4.10389,0.00112,0.35765,0.00109,0.00029,2.91841,3.85207,4.0412,0.000365704,0.000365704,0.000365704
2,13.1228,2.92583,3.46175,3.49282,0.00343,0.47617,0.01598,0.00438,2.77884,3.61622,3.85128,0.000734216,0.000734216,0.000734216
3,16.7971,2.48295,3.14547,2.95785,0.69519,0.10924,0.07695,0.02578,2.28406,2.62077,2.93811,0.00110089,0.00110089,0.00110089
4,20.5075,2.22767,2.73685,2.64816,0.74361,0.11387,0.1041,0.04001,2.04813,2.79125,2.48211,0.00110275,0.00110275,0.00110275
5,24.1404,2.06283,2.51773,2.47633,0.74619,0.14463,0.1336,0.05499,1.92716,2.50336,2.44987,0.0011,0.0011,0.0011
6,27.7387,1.96468,2.36415,2.38041,0.74244,0.16407,0.14435,0.06289,1.89479,2.25012,2.36739,0.00109725,0.00109725,0.00109725
7,31.3035,1.90142,2.24145,2.30723,0.77998,0.16412,0.15829,0.06592,1.88764,2.20911,2.4164,0.0010945,0.0010945,0.0010945
8,34.878,1.85564,2.13805,2.26409,0.55206,0.16423,0.15793,0.072,1.80354,2.21599,2.30538,0.00109175,0.00109175,0.00109175
9,38.4693,1.74097,2.08642,2.17341,0.56753,0.17538,0.17766,0.08249,1.71066,1.9606,2.18544,0.001089,0.001089,0.001089
10,42.1693,1.72592,2.00812,2.14702,0.60619,0.20153,0.2034,0.09876,1.65713,1.9004,2.12469,0.00108625,0.00108625,0.00108625
11,45.7576,1.70607,1.92927,2.11796,0.79537,0.21679,0.21775,0.10892,1.64869,1.62507,2.0972,0.0010835,0.0010835,0.0010835
12,49.394,1.63935,1.9104,2.05763,0.81056,0.19745,0.20381,0.10412,1.63766,1.6481,2.06906,0.00108075,0.00108075,0.00108075
13,53.0603,1.6393,1.89175,2.06114,0.8114,0.19395,0.21278,0.10504,1.58252,1.6518,2.04293,0.001078,0.001078,0.001078
14,56.6511,1.59423,1.75879,2.01543,0.79328,0.22684,0.22467,0.12014,1.50427,1.65489,1.94412,0.00107525,0.00107525,0.00107525
15,60.2555,1.61408,1.76019,1.99461,0.69528,0.23448,0.23603,0.12731,1.55333,1.54452,2.02692,0.0010725,0.0010725,0.0010725
16,63.8806,1.57931,1.74551,1.98098,0.80792,0.18838,0.20756,0.11229,1.49409,1.56761,1.90957,0.00106975,0.00106975,0.00106975
17,67.5716,1.56664,1.66983,1.96194,0.8234,0.19904,0.2188,0.11669,1.4855,1.5759,1.90145,0.001067,0.001067,0.001067
18,71.0774,1.54493,1.70115,1.93978,0.71859,0.25708,0.29244,0.15782,1.43497,1.37547,1.88943,0.00106425,0.00106425,0.00106425
19,74.6434,1.55013,1.64912,1.96239,0.71977,0.2779,0.27423,0.1551,1.4166,1.45475,1.86064,0.0010615,0.0010615,0.0010615
20,78.2518,1.49481,1.60163,1.91477,0.64811,0.30937,0.27685,0.15706,1.41383,1.36757,1.85026,0.00105876,0.00105876,0.00105876
21,81.7705,1.5039,1.67089,1.91649,0.81785,0.22501,0.24482,0.13469,1.41997,1.50183,1.86398,0.00105601,0.00105601,0.00105601
22,85.2749,1.50661,1.65373,1.9036,0.64721,0.27792,0.25204,0.13423,1.51564,1.51072,1.98943,0.00105326,0.00105326,0.00105326
23,88.7901,1.48145,1.60554,1.88206,0.60262,0.29483,0.25757,0.14366,1.44,1.37092,1.86203,0.00105051,0.00105051,0.00105051
24,92.393,1.45177,1.48967,1.867,0.71491,0.32428,0.31524,0.18601,1.35168,1.23439,1.7688,0.00104776,0.00104776,0.00104776
25,95.9073,1.45734,1.45503,1.87293,0.65271,0.34164,0.31447,0.18966,1.33075,1.22061,1.7197,0.00104501,0.00104501,0.00104501
26,99.4898,1.46339,1.526,1.86187,0.69978,0.31766,0.30377,0.18389,1.30634,1.22441,1.74643,0.00104226,0.00104226,0.00104226
27,102.969,1.47525,1.49254,1.87127,0.70827,0.32969,0.32425,0.19532,1.32105,1.2119,1.76093,0.00103951,0.00103951,0.00103951
28,106.496,1.45688,1.48179,1.83565,0.6701,0.3547,0.31932,0.18986,1.33463,1.2486,1.75855,0.00103676,0.00103676,0.00103676
29,109.968,1.45682,1.50166,1.86529,0.6822,0.31528,0.30306,0.18212,1.32463,1.21407,1.73661,0.00103401,0.00103401,0.00103401
30,113.487,1.42209,1.4535,1.82919,0.67681,0.3502,0.33459,0.2028,1.28348,1.14665,1.70743,0.00103126,0.00103126,0.00103126
31,117.08,1.40491,1.48385,1.8228,0.65757,0.34321,0.31116,0.18419,1.2712,1.15343,1.71838,0.00102851,0.00102851,0.00102851
32,120.552,1.40988,1.41345,1.80926,0.67117,0.32968,0.32392,0.19723,1.33784,1.27052,1.78586,0.00102576,0.00102576,0.00102576
33,124.071,1.40765,1.43134,1.81929,0.70486,0.33268,0.32164,0.19475,1.26004,1.18352,1.70153,0.00102301,0.00102301,0.00102301
34,127.526,1.39446,1.38747,1.80005,0.7161,0.31274,0.32239,0.19638,1.29408,1.15362,1.70107,0.00102026,0.00102026,0.00102026
35,131.05,1.39893,1.37018,1.78716,0.71338,0.36409,0.35121,0.21906,1.24367,1.14233,1.68329,0.00101751,0.00101751,0.00101751
36,134.575,1.39481,1.41843,1.77646,0.72374,0.32033,0.3214,0.19691,1.29594,1.20264,1.72741,0.00101476,0.00101476,0.00101476
37,138.148,1.40635,1.36621,1.79408,0.71956,0.37049,0.35763,0.22447,1.22361,1.07231,1.6748,0.00101201,0.00101201,0.00101201
38,141.732,1.3954,1.43578,1.78163,0.84371,0.30033,0.35321,0.21712,1.24765,1.14806,1.68637,0.00100926,0.00100926,0.00100926
39,145.221,1.37462,1.37889,1.77744,0.78983,0.29984,0.3337,0.20719,1.31911,1.21311,1.7456,0.00100651,0.00100651,0.00100651
40,148.737,1.38316,1.35216,1.77932,0.77539,0.34459,0.37001,0.22963,1.24915,1.09269,1.65075,0.00100376,0.00100376,0.00100376
41,152.245,1.3459,1.35689,1.74919,0.72369,0.31351,0.32649,0.20234,1.2271,1.08008,1.65224,0.00100101,0.00100101,0.00100101
42,155.722,1.35442,1.29666,1.74588,0.71228,0.33059,0.33894,0.206,1.2704,1.07409,1.68107,0.000998261,0.000998261,0.000998261
43,159.203,1.35172,1.32843,1.74689,0.76118,0.33063,0.36282,0.23032,1.23972,1.03986,1.65566,0.000995512,0.000995512,0.000995512
44,162.861,1.35726,1.30113,1.74517,0.77951,0.31992,0.35416,0.22422,1.23045,1.04736,1.63418,0.000992762,0.000992762,0.000992762
45,166.316,1.3432,1.29562,1.72859,0.79803,0.34304,0.39322,0.25359,1.2112,1.04099,1.63912,0.000990012,0.000990012,0.000990012
46,169.833,1.37051,1.35324,1.76543,0.76153,0.34387,0.37173,0.22934,1.23151,1.0251,1.64945,0.000987262,0.000987262,0.000987262
47,173.334,1.33672,1.30381,1.73571,0.78537,0.34267,0.39016,0.24924,1.18801,1.00337,1.59818,0.000984513,0.000984513,0.000984513
48,176.822,1.31317,1.28044,1.71331,0.76871,0.35885,0.38517,0.24766,1.18229,1.00813,1.61564,0.000981763,0.000981763,0.000981763
49,180.286,1.33353,1.29626,1.7153,0.82912,0.3287,0.38361,0.23948,1.21409,1.01832,1.62398,0.000979013,0.000979013,0.000979013
50,183.733,1.3149,1.24733,1.71749,0.78945,0.32215,0.37318,0.23642,1.20629,1.11507,1.65856,0.000976263,0.000976263,0.000976263
51,187.323,1.31494,1.2513,1.70343,0.78129,0.35988,0.39856,0.25839,1.20892,1.03302,1.63631,0.000973514,0.000973514,0.000973514
52,190.784,1.30866,1.20077,1.7137,0.81026,0.35235,0.43354,0.27736,1.18012,0.9948,1.62539,0.000970764,0.000970764,0.000970764
53,194.495,1.31501,1.28708,1.71459,0.7598,0.37178,0.39995,0.26062,1.19695,0.97765,1.61693,0.000968014,0.000968014,0.000968014
54,197.959,1.32023,1.34183,1.72214,0.82244,0.37283,0.41397,0.26951,1.1741,0.99024,1.59424,0.000965265,0.000965265,0.000965265
55,201.435,1.2884,1.21011,1.6869,0.79395,0.38352,0.42832,0.279,1.19037,1.01923,1.61322,0.000962515,0.000962515,0.000962515
56,205.032,1.29853,1.24417,1.69415,0.79429,0.38448,0.43278,0.28234,1.17323,0.9793,1.58937,0.000959765,0.000959765,0.000959765
57,208.533,1.29506,1.19478,1.68058,0.7934,0.38224,0.47404,0.32348,1.14041,0.92893,1.57125,0.000957015,0.000957015,0.000957015
58,212.11,1.28438,1.23843,1.67099,0.80461,0.37657,0.40796,0.25497,1.19738,0.96638,1.60443,0.000954266,0.000954266,0.000954266
59,215.59,1.28345,1.21885,1.67681,0.809,0.38584,0.46801,0.29972,1.16857,0.94448,1.57937,0.000951516,0.000951516,0.000951516
60,219.068,1.27336,1.19849,1.65932,0.80773,0.38199,0.47152,0.3094,1.13828,0.92448,1.56962,0.000948766,0.000948766,0.000948766
61,222.536,1.27921,1.20766,1.6619,0.8051,0.3762,0.42366,0.28188,1.15031,0.94477,1.57616,0.000946016,0.000946016,0.000946016
62,226.034,1.27849,1.18278,1.65728,0.77958,0.42137,0.4362,0.29704,1.15511,0.91157,1.56508,0.000943267,0.000943267,0.000943267
