epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,378.008,1.42391,1.47971,1.82182,0.77831,0.27277,0.3303,0.18918,1.40298,1.40207,1.83995,0.00102081,0.00102081,0.00102081
43,386.729,1.40849,1.40005,1.8175,0.76009,0.31461,0.53892,0.25897,1.32308,1.23217,1.76431,0.00101861,0.00101861,0.00101861
44,395.433,1.38619,1.38145,1.79961,0.72908,0.36429,0.37244,0.23205,1.28384,1.08932,1.70688,0.00101641,0.00101641,0.00101641
45,404.316,1.39799,1.41259,1.81718,0.74211,0.36303,0.39457,0.24995,1.2854,1.12187,1.74415,0.00101421,0.00101421,0.00101421
46,412.992,1.40164,1.38624,1.81677,0.74817,0.32964,0.34948,0.21037,1.33374,1.19161,1.77062,0.00101201,0.00101201,0.00101201
47,421.751,1.40975,1.3956,1.79987,0.75726,0.32106,0.34425,0.21637,1.33396,1.18334,1.77375,0.00100981,0.00100981,0.00100981
48,430.506,1.41255,1.45848,1.82255,0.72387,0.35855,0.36834,0.2157,1.30284,1.15423,1.75269,0.00100761,0.00100761,0.00100761
49,439.29,1.37297,1.3937,1.77992,0.77276,0.33843,0.37883,0.22706,1.27124,1.12536,1.74901,0.00100541,0.00100541,0.00100541
50,447.996,1.39572,1.36257,1.80235,0.74952,0.35756,0.37957,0.2351,1.29632,1.17375,1.72151,0.00100321,0.00100321,0.00100321
51,456.678,1.3373,1.33227,1.74166,0.77679,0.37115,0.4138,0.27137,1.25416,1.08595,1.67763,0.00100101,0.00100101,0.00100101
52,465.71,1.36577,1.32834,1.76726,0.78076,0.35221,0.44099,0.27128,1.25078,1.09117,1.68191,0.000998811,0.000998811,0.000998811
53,474.329,1.33748,1.32179,1.76461,0.77699,0.36351,0.45653,0.28751,1.29758,1.03889,1.75517,0.000996611,0.000996611,0.000996611
54,483.113,1.36577,1.31963,1.76201,0.78229,0.37787,0.42604,0.2675,1.26409,1.07148,1.66431,0.000994412,0.000994412,0.000994412
55,491.855,1.3316,1.22536,1.74007,0.78165,0.3835,0.45208,0.27031,1.29833,1.04109,1.70182,0.000992212,0.000992212,0.000992212
56,500.915,1.36454,1.29848,1.77593,0.79906,0.39504,0.43151,0.27954,1.24416,1.01289,1.64428,0.000990012,0.000990012,0.000990012
57,509.603,1.34211,1.27121,1.73353,0.79853,0.38151,0.618,0.32276,1.21876,1.01873,1.6442,0.000987812,0.000987812,0.000987812
58,518.53,1.331,1.29762,1.75379,0.80472,0.3664,0.46619,0.29749,1.24095,1.10454,1.65244,0.000985613,0.000985613,0.000985613
59,527.581,1.34039,1.26762,1.75824,0.81561,0.37444,0.51359,0.34953,1.22815,1.04973,1.67238,0.000983413,0.000983413,0.000983413
60,536.518,1.34781,1.29024,1.76102,0.81854,0.35139,0.4208,0.27025,1.2273,1.05891,1.66629,0.000981213,0.000981213,0.000981213
61,545.342,1.31758,1.28085,1.72852,0.78841,0.37704,0.43566,0.28784,1.20174,1.00211,1.60177,0.000979013,0.000979013,0.000979013
62,554.187,1.30632,1.28234,1.73245,0.83028,0.34788,0.45692,0.30915,1.20961,1.04218,1.64301,0.000976813,0.000976813,0.000976813
63,563.1,1.32249,1.26364,1.72833,0.8318,0.35863,0.50912,0.32093,1.26109,1.04665,1.69031,0.000974614,0.000974614,0.000974614
64,571.752,1.32621,1.27307,1.72893,0.82285,0.37213,0.61668,0.37238,1.21334,1.02594,1.65005,0.000972414,0.000972414,0.000972414
65,580.464,1.32842,1.245,1.737,0.86605,0.35234,0.46243,0.31031,1.18447,0.9817,1.62961,0.000970214,0.000970214,0.000970214
66,589.404,1.29274,1.21802,1.70633,0.80076,0.39876,0.44408,0.28974,1.22218,0.98349,1.63707,0.000968014,0.000968014,0.000968014
67,598.088,1.29466,1.18354,1.7143,0.84083,0.38891,0.53277,0.36606,1.18424,0.95152,1.60796,0.000965815,0.000965815,0.000965815
68,606.781,1.30603,1.21781,1.71616,0.83399,0.3994,0.47049,0.31432,1.18432,0.94891,1.60955,0.000963615,0.000963615,0.000963615
69,615.573,1.29667,1.22495,1.72704,0.79999,0.40172,0.4342,0.29083,1.17729,0.97805,1.61925,0.000961415,0.000961415,0.000961415
70,624.325,1.29206,1.23373,1.72,0.80821,0.43674,0.47188,0.3206,1.18945,0.93263,1.65553,0.000959215,0.000959215,0.000959215
71,633.273,1.28502,1.24727,1.70627,0.82187,0.39892,0.47296,0.31959,1.17298,0.91853,1.60782,0.000957015,0.000957015,0.000957015
72,641.958,1.2937,1.24165,1.71391,0.84849,0.39171,0.46298,0.30967,1.18269,0.94626,1.6329,0.000954816,0.000954816,0.000954816
73,650.845,1.28169,1.2185,1.68145,0.81177,0.39888,0.48534,0.32315,1.17851,0.96457,1.61487,0.000952616,0.000952616,0.000952616
74,659.533,1.32893,1.16175,1.72062,0.82607,0.40414,0.49801,0.29614,1.18717,0.97414,1.65071,0.000950416,0.000950416,0.000950416
75,668.272,1.29017,1.16707,1.69567,0.82574,0.37942,0.49813,0.3357,1.1966,0.96271,1.63524,0.000948216,0.000948216,0.000948216
76,676.886,1.2662,1.18817,1.67327,0.85368,0.39056,0.47189,0.32036,1.15022,0.90796,1.59897,0.000946016,0.000946016,0.000946016
77,685.669,1.27729,1.1902,1.67482,0.77819,0.41601,0.54015,0.36022,1.14711,0.9591,1.57644,0.000943817,0.000943817,0.000943817
78,694.322,1.26756,1.20315,1.68291,0.85788,0.39162,0.46588,0.31341,1.15097,0.96569,1.62179,0.000941617,0.000941617,0.000941617
79,702.986,1.2714,1.20419,1.66077,0.83619,0.39892,0.4746,0.3127,1.17375,0.96803,1.6057,0.000939417,0.000939417,0.000939417
80,711.733,1.26117,1.18386,1.66457,0.80461,0.40765,0.44239,0.29526,1.12766,0.93057,1.56917,0.000937217,0.000937217,0.000937217
