type,properties,id,yolo_pred,Confidence,annotation_type,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 5.4777355194091797, ""confidence"": 0.97310000658035212 }",23,3,0.9081,3.0,299.7474692565357,72.7808987689686,439602.97135327937,4463456.890703468,181.65575775644723,58.453784543785524,0.7627200000000001,3,0
Feature,"{ ""height"": 4.9745883941650391, ""confidence"": 0.98849999904632513 }",34,3,0.9058,3.0,179.9780702380171,58.6737779515009,439578.7526825288,4463240.399944295,131.46042978270498,45.459957459181396,0.6517600000000001,3,0
Feature,"{ ""height"": 4.6700811386108398, ""confidence"": 0.9735000133514401 }",35,3,0.8923,3.0,146.40896647157058,49.134505165271975,439492.6385080519,4464104.269569052,167.43868534759852,53.813573278736285,0.87662,3,2
Feature,"{ ""height"": 5.4328360557556152, ""confidence"": 0.99699997901916504 }",38,3,0.9353,3.0,187.12164854724583,55.04718536996801,439155.638235599,4464104.587877728,122.19792519592406,45.937854521068594,0.8296800000000001,3,2
Feature,"{ ""height"": 4.3058676719665527, ""confidence"": 0.9868999719619751 }",74,3,0.8495,3.0,165.77669217830697,54.878815647879954,439973.7475717818,4462841.5693479935,703.5653237082137,112.42453674281901,0.76496,3,0
Feature,"{ ""height"": 5.5402402877807617, ""confidence"": 0.99690002202987604 }",97,3,0.8908,3.0,168.21977724959854,57.78359012661886,440047.41232781194,4463004.173354767,167.5559014940237,55.123340568555406,0.8328599999999999,3,0
Feature,"{ ""height"": 4.8070034980773935, ""confidence"": 0.98420000076293912 }",112,3,0.8968,3.0,193.52710753990587,59.0967742438561,439263.0894699365,4463475.724684754,185.83904328226876,58.215303549544316,0.8455,3,1
Feature,"{ ""height"": 4.322718620300293, ""confidence"": 0.9979000091552731 }",134,3,0.9264,3.0,193.3631457890997,59.54765498331206,439626.95656922547,4462926.671308625,223.96735263810132,64.78095368927652,0.71758,3,0
Feature,"{ ""height"": 5.0410542488098136, ""confidence"": 0.98360002040863004 }",150,3,0.8847,1.0,186.52159001864015,58.61959391950151,438751.29832170816,4463242.593955232,308.4166058255476,84.46357472200964,0.7421800000000001,3,1
Feature,"{ ""height"": 4.7674212455749512, ""confidence"": 0.98710000514984109 }",160,3,0.9316,3.0,175.93366755684318,55.97732995121357,439454.8987873402,4462875.129926296,1737.9061964590371,192.1656892450474,0.64176,3,0
Feature,"{ ""height"": 2.934272289276123, ""confidence"": 0.97990000247955311 }",161,3,0.8426,3.0,10.669093994513952,14.152646625257258,438969.921734299,4464117.928889242,137.15972647259403,51.33628195102508,0.83782,3,2
Feature,"{ ""height"": 4.580078125, ""confidence"": 0.98070001602172807 }",204,3,0.1513,3.0,211.8669084247111,62.305271489250345,439546.8025085567,4462966.091744507,193.12781160979614,59.353005573360704,0.8786200000000001,3,0
Feature,"{ ""height"": 5.4770493507385254, ""confidence"": 0.98549997806549006 }",238,3,0.9208,3.0,189.35964515392973,60.44593940010451,439737.0878830313,4463404.056933216,182.77328781173998,56.0237799736269,0.6166,3,0
