type,properties,id,yolo_pred,Confidence,annotation_type,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 2.5116162300109859, ""confidence"": 0.98890000581741311 }",47,3,0.7767,3.0,102.51843192866176,40.63464607132461,443715.25969384826,4459594.0583968805,184.3638699345253,56.23582367987198,0.7855000000000001,3,3
Feature,"{ ""height"": 4.9862871170043936, ""confidence"": 0.98210000991821211 }",63,3,0.9079,3.0,199.87608301752545,60.25321830971529,443650.58394660417,4459414.339523427,164.8923397167526,52.31210923219385,0.75926,3,4
Feature,"{ ""height"": 4.191063404083252, ""confidence"": 0.97479999065399103 }",69,3,0.9047,3.0,256.52520085275967,67.6021461764433,442148.4638127971,4459740.674403162,240.3713610601356,67.27305812056734,0.88186,3,1
Feature,"{ ""height"": 4.4091053009033203, ""confidence"": 0.99720001220703103 }",71,3,0.8826,3.0,163.84023622217265,53.032998207980256,441734.1801604268,4459988.80267089,222.48301865303125,65.47455148882993,0.89926,3,1
Feature,"{ ""height"": 4.8328375816345215, ""confidence"": 0.94900000095367409 }",76,3,0.919,3.0,278.8138987478841,72.0220938443652,443647.85540214716,4459622.380816186,165.92172688449494,53.690205183066396,0.74802,3,4
Feature,"{ ""height"": 4.604548454284668, ""confidence"": 0.98750001192092907 }",148,3,0.8948,3.0,223.1455338511896,66.86412582318789,441831.45142809127,4459882.99473442,225.53865712601237,65.34231392149258,0.8936,3,1
Feature,"{ ""height"": 4.0458149909973136, ""confidence"": 0.98079997301101607 }",169,3,0.8804,3.0,202.3745978125542,62.31761724738195,441738.77984663885,4459886.761507655,229.6928443337394,66.25161563665377,0.89648,3,1
Feature,"{ ""height"": 4.9882111549377441, ""confidence"": 0.99690002202987604 }",176,3,0.9399,3.0,249.92280250510603,70.05216218464838,442822.2308892898,4460456.291132459,205.67247526808637,61.69585863561385,0.82142,3,0
Feature,"{ ""height"": 2.3845198154449458, ""confidence"": 0.99879997968673706 }",194,3,0.8773,3.0,125.14195236039508,46.72616651692955,442581.246070076,4459712.6002466865,143.48183145475252,47.972886502808215,0.85518,3,3
Feature,"{ ""height"": 4.5053668022155762, ""confidence"": 0.97920000553131104 }",225,3,0.8741,3.0,231.51930592332965,62.76871550199306,441482.58261122386,4460172.285217808,232.50735839066965,65.11590177803788,0.88818,3,1
