type,properties,id,yolo_pred,Confidence,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 7.1993064880371094, ""confidence"": -1.0 }",1,3,0.9593,300.02804169728836,69.55997360361869,434381.5674087386,4622723.631119521,336.5551252345396,78.28020928722087,0.9351200000000001,3,2
Feature,"{ ""height"": 5.3900060653686523, ""confidence"": -1.0 }",22,3,0.9079,187.12616404775744,57.85438652640262,433752.14742074686,4623411.725207629,234.86616375785965,66.97161328929518,0.8033199999999999,3,2
Feature,"{ ""height"": 5.4741902351379395, ""confidence"": -1.0 }",27,3,0.8647,195.76070423978783,59.3507516729364,433715.17729767214,4622894.519808389,341.75390698032004,82.11912498572026,0.9233600000000001,3,2
Feature,"{ ""height"": 3.1090846061706539, ""confidence"": -1.0 }",30,3,0.9195,282.53665113643973,76.6588809437219,434104.56761806,4622179.939456332,297.58659268296077,80.21844334670843,0.8479000000000001,3,2
Feature,"{ ""height"": 3.8762779235839839, ""confidence"": -1.0 }",39,3,0.7886,286.357370372369,80.61809446453287,434241.6346428762,4622484.2549438365,310.97409723705556,77.61900398823295,0.8612,3,2
Feature,"{ ""height"": 3.6049084663391109, ""confidence"": -1.0 }",42,3,0.6264,246.0028403970464,70.34836787309709,434136.9358878924,4623206.262753609,237.65459970798375,67.65262045910202,0.7979800000000001,3,2
Feature,"{ ""height"": 3.7677757740020752, ""confidence"": -1.0 }",47,3,0.8893,445.6742268691546,97.29716458370802,433783.0779712603,4619804.661745609,222.95843118513835,60.844377262093225,0.89908,3,2
Feature,"{ ""height"": 4.2104434967041025, ""confidence"": -1.0 }",50,3,0.8235,252.02967677635775,72.08659518136132,434327.1216502092,4623540.066945242,264.03053753093235,69.1457924035561,0.8995799999999999,3,2
Feature,"{ ""height"": 4.3543415069580078, ""confidence"": -1.0 }",58,3,0.8813,176.67763443082492,55.03194790923017,433659.19363116415,4621708.9910235675,224.0850803328934,65.5944422493847,0.8949400000000001,3,2
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",64,3,0.8754,227.70710414837347,64.11765094901409,434171.8385911519,4623286.469626745,240.95759418664807,68.63709741250568,0.773,3,2
Feature,"{ ""height"": 3.0464756488800049, ""confidence"": -1.0 }",72,2,0.7835,288.885685531362,74.84626246921846,433863.3603345488,4622724.061211695,228.8422255299166,64.41343474025234,0.8564599999999999,3,2
