type,properties,id,yolo_pred,Confidence,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 3.4822993278503422, ""confidence"": -1.0 }",13,3,0.8888,271.4888244756239,75.6822606094894,433872.1052857852,4622568.194698132,199.39638715938005,62.0604036371999,0.8446999999999999,3,0
Feature,"{ ""height"": 3.677826881408691, ""confidence"": -1.0 }",26,3,0.8673,235.31516496193512,74.09426653348696,433808.93461976387,4622879.195443322,290.42186846643745,76.17858570841656,0.8916000000000001,3,0
Feature,"{ ""height"": 4.4571857452392578, ""confidence"": -1.0 }",32,3,0.5548,231.4461050488628,68.29560975323352,433872.64032285026,4623233.613043367,207.24016762665138,61.646465279103175,0.80284,3,0
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",41,3,0.8757,372.8079275021895,100.91760838235686,434307.84157501574,4622087.2234516395,367.0962371301056,86.05163630646851,0.8798599999999999,3,0
Feature,"{ ""height"": 3.738013744354248, ""confidence"": -1.0 }",79,3,0.878,173.5180665172905,58.49800061721329,434279.9798768169,4623214.341827444,235.55059072450723,66.52506163615514,0.79628,3,0
Feature,"{ ""height"": -1.0, ""confidence"": -1.0 }",80,3,0.7262,47.11034164781513,27.66144700591018,434223.68792442355,4620552.258518829,282.82277850772425,76.51183250041922,0.9067000000000001,3,0
Feature,"{ ""height"": 4.8536376953125, ""confidence"": -1.0 }",81,3,0.8703,175.5965372780887,61.84890965696326,434299.0254894544,4623663.830320459,207.1659399249214,62.7623929623968,0.7892,3,0
Feature,"{ ""height"": 5.1586060523986816, ""confidence"": -1.0 }",93,3,0.8885,260.1810397538231,70.98521734454879,433817.04211423354,4619753.839619254,355.89357268072024,81.43478440742523,0.9055199999999999,3,0
Feature,"{ ""height"": 4.2501273155212402, ""confidence"": -1.0 }",98,3,0.5288,291.8385648910565,81.22675847661144,434138.6574632726,4622662.405929188,241.66570984007976,66.72942804294607,0.8686400000000001,3,0
Feature,"{ ""height"": 3.6344718933105469, ""confidence"": -1.0 }",99,3,0.5733,218.966489882877,66.77936709767027,434094.450831145,4623608.147968117,210.99635711980926,63.19342155425551,0.808,3,0
Feature,"{ ""height"": 5.0835967063903809, ""confidence"": -1.0 }",110,3,0.9732,298.25573773816086,83.42163362860228,433616.7167164767,4620358.694034532,336.01114122028946,79.69865872773656,0.8985200000000001,3,0
