epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,7113.06,1.94184,1.79329,2.34559,0.50057,0.26497,0.23938,0.10113,2.03982,1.8414,2.54193,0.000795698,0.000795698,0.000795698
45,7265.33,1.9136,1.77275,2.30949,0.56458,0.25888,0.24104,0.10436,2.02755,1.91213,2.56477,0.000788366,0.000788366,0.000788366
46,7312.11,1.89834,1.67144,2.23516,0.25402,0.26156,0.24612,0.10417,1.99356,2.0164,2.56274,0.000781033,0.000781033,0.000781033
47,7359.82,1.94532,1.79052,2.2822,0.51855,0.25991,0.33679,0.13434,1.98887,2.01069,2.46874,0.0007737,0.0007737,0.0007737
48,7568.1,1.97029,1.70051,2.30105,0.55575,0.34815,0.38538,0.16918,1.86377,1.61692,2.363,0.000766368,0.000766368,0.000766368
49,7614.68,1.92648,1.76763,2.25288,0.62475,0.28646,0.4044,0.17122,1.88308,1.61931,2.39624,0.000759035,0.000759035,0.000759035
50,7662.16,1.90714,1.74246,2.2045,0.5257,0.32301,0.29013,0.13886,1.79674,1.62602,2.27975,0.000751703,0.000751703,0.000751703
51,8768.08,1.94821,1.69377,2.22951,0.80304,0.23521,0.2804,0.13605,1.80681,1.63076,2.27779,0.00074437,0.00074437,0.00074437
52,8815.16,1.90559,1.74949,2.24901,0.73032,0.26706,0.29306,0.14268,1.84064,1.61133,2.30726,0.000737037,0.000737037,0.000737037
53,8860.83,1.94132,1.697,2.26999,0.45433,0.29575,0.28931,0.14525,1.82774,1.60886,2.26622,0.000729705,0.000729705,0.000729705
54,9587.93,1.9506,1.66303,2.26276,0.53175,0.38867,0.31528,0.15372,1.83009,1.60195,2.27069,0.000722372,0.000722372,0.000722372
55,9634.97,1.86755,1.64095,2.22876,0.58532,0.38453,0.33834,0.16181,1.77888,1.50663,2.27135,0.00071504,0.00071504,0.00071504
