type,properties,id,yolo_pred,Confidence,annotation_type,Area_sqm,Perimeter_m,centroid_x,centroid_y,neighbor_mean_area,neighbor_mean_perimeter,neighbor_mean_conf,neighbor_majority_class,spatial_cluster_id
Feature,"{ ""height"": 4.4826254844665527, ""confidence"": 0.96420001983642512 }",63,3,0.8601,3.0,134.3297276380206,49.846372853269926,439276.0526097817,4461040.638705552,184.36455540097896,56.67132967721202,0.7639,3,3
Feature,"{ ""height"": 5.3105802536010742, ""confidence"": 0.98570001125335605 }",69,3,0.8354,3.0,151.19616041450928,51.867383077802835,438897.87330448546,4462244.912412121,195.7013772397071,59.32776420905918,0.76692,3,0
Feature,"{ ""height"": 1.570149302482605, ""confidence"": 0.97089999914169312 }",71,3,0.8803,3.0,69.38410005889158,43.34222388792383,438705.42659737717,4461726.587252997,125.47835627504114,53.730757693353226,0.9024000000000001,3,4
Feature,"{ ""height"": 3.6194689273834229, ""confidence"": 0.99650001525878906 }",148,3,0.9091,3.0,116.98461394480724,44.135358843877,438673.13047334744,4461595.223139792,151.54859655757417,58.5196772570509,0.8664800000000001,3,3
Feature,"{ ""height"": 1.9625730514526361, ""confidence"": 0.90609997510910012 }",169,3,0.9319,3.0,132.7841019428053,54.21296632098036,438591.90584529546,4461670.686875426,143.96720088208116,55.74723671111885,0.88164,3,3
Feature,"{ ""height"": 3.4382688999176021, ""confidence"": 0.99680000543594305 }",225,3,0.8867,3.0,114.08892810964092,45.51242575491176,440220.1643918016,4461595.832338332,175.62805823760127,50.64556802986897,0.6706799999999999,3,2
Feature,"{ ""height"": 3.666495561599731, ""confidence"": 0.99080002307891812 }",243,3,0.8148,3.0,100.85239898333478,40.49034517264924,439477.2664540615,4461824.560459738,136.46240581802456,47.93991872197072,0.67554,3,4
Feature,"{ ""height"": 4.8356771469116211, ""confidence"": 0.97320002317428511 }",263,3,0.9131,3.0,198.81837903308625,60.043259581372745,439115.18805389554,4461480.801305835,179.16302901478085,59.14702296800491,0.89164,3,3
Feature,"{ ""height"": 5.4110960960388184, ""confidence"": 0.99949997663497903 }",269,3,0.888,3.0,191.20764333576255,58.23452149397498,440285.06014244107,4462199.944542849,186.07700263230444,60.90129063150605,0.70608,3,2
Feature,"{ ""height"": 4.1808147430419922, ""confidence"": 0.99150002002716009 }",301,1,0.1907,3.0,468.8834231337241,96.0832743428826,440230.1853443855,4461732.961041262,117.25539853507817,42.20304785411268,0.80156,3,1
Feature,"{ ""height"": 3.6715710163116451, ""confidence"": 0.96920001506805409 }",303,3,0.878,3.0,109.03456086910666,41.862374429693354,440076.5429924591,4461714.628355244,178.4713029033841,51.97865949246972,0.6624000000000001,3,4
Feature,"{ ""height"": 3.3940532207489009, ""confidence"": 0.96340000629425004 }",320,3,0.8897,2.0,151.47513715004305,57.309182007059334,439222.5884209162,4461671.129505973,150.58821105512362,52.096375981611175,0.76338,3,3
Feature,"{ ""height"": 4.0971813201904297, ""confidence"": 0.98570001125335605 }",323,3,0.8938,3.0,122.98242663280172,44.790698374004975,439159.27282191516,4462345.113413986,183.71109408484844,56.0002963916996,0.7153,3,0
Feature,"{ ""height"": 3.113225936889648, ""confidence"": 0.99949997663497903 }",378,3,0.7399,3.0,105.74853708838909,41.595610936825224,439710.6469155444,4461991.0482851155,169.47769222200333,54.525986465967605,0.65644,3,4
Feature,"{ ""height"": 3.4051122665405269, ""confidence"": 1.0 }",409,3,0.9317,3.0,200.5069345749829,60.81167280626032,439902.2244683747,4462388.84768245,165.16478555402082,54.918107257804614,0.7001799999999999,3,2
Feature,"{ ""height"": 3.3719191551208492, ""confidence"": 0.98500001430511408 }",472,3,0.3205,3.0,186.90908486691873,57.743307011497286,439300.85295034247,4461730.662290409,125.2515267093358,47.367745768945994,0.8667399999999998,3,3
Feature,"{ ""height"": 1.2741056680679321, ""confidence"": 0.99690002202987604 }",476,3,0.9211,3.0,303.79301971660055,77.13020925985886,438929.31163697573,4462385.4536170745,165.18200537928885,54.27519897264799,0.74978,3,0
Feature,"{ ""height"": 6.4015135765075684, ""confidence"": 0.98210000991821211 }",479,2,0.6833,3.0,246.20241392218523,63.223087322455015,440619.1605265935,4461723.986388918,215.18724182758334,62.384210695267896,0.56436,3,2
Feature,"{ ""height"": 1.3014991283416739, ""confidence"": 1.0 }",574,3,0.5427,2.0,93.21810538613538,39.59206448836206,440110.57459708134,4462323.15570808,159.01456925915983,54.46836258352611,0.75054,3,4
Feature,"{ ""height"": 5.2129278182983398, ""confidence"": 0.96820002794265703 }",582,3,0.8962,,190.52808811355948,58.58288814884314,440270.96402647736,4462122.768361036,199.4549229684419,62.09520684088146,0.7098800000000001,3,2
Feature,"{ ""height"": 5.1908912658691406, ""confidence"": 0.99029999971389704 }",603,3,0.9314,3.0,106.84601224542456,43.918219984998686,438940.8901806002,4461887.73216691,166.31469930194143,53.68943294384974,0.8664000000000002,3,4
Feature,"{ ""height"": 4.4915256500244141, ""confidence"": 1.0 }",621,3,0.5786,3.0,103.4151093909077,41.130642125265446,439550.8799559437,4462075.305134926,139.4470172295117,47.88843996517551,0.70566,3,4
Feature,"{ ""height"": 3.601130485534668, ""confidence"": 0.9466000199317931 }",647,3,0.8626,3.0,128.56649778296085,49.55511853771502,439063.36113900965,4461965.652242596,142.9531348193186,48.793933849535435,0.7242,3,4
Feature,"{ ""height"": 4.0371518135070801, ""confidence"": 0.90560001134872403 }",648,3,0.3126,3.0,16.718987606467802,16.379093163799986,438918.8962310913,4461327.520783614,181.08482204098266,60.254779266712205,0.76938,3,4
Feature,"{ ""height"": 3.4386317729949951, ""confidence"": 0.99849998950958208 }",673,3,0.5614,3.0,102.876357012227,40.94745340667664,439064.83174652624,4462266.035592435,155.58490478248464,52.7688472972733,0.78294,3,4
Feature,"{ ""height"": 3.3556869029998779, ""confidence"": 0.95080000162124612 }",705,3,0.8848,3.0,254.31051864971465,68.7071686911314,439222.1085118846,4461259.123062444,155.74685446858751,51.347674331570126,0.7575400000000001,3,3
Feature,"{ ""height"": 4.5575017929077148, ""confidence"": 0.99769997596740712 }",734,3,0.8643,0.0,135.35524160244458,48.40896740399498,439428.45305460895,4462339.858539883,119.9231886289544,43.70466589084303,0.54848,3,0
Feature,"{ ""height"": 4.9362564086914062, ""confidence"": 0.97539997100830012 }",845,3,0.8927,2.0,153.51374933802467,50.97541145801692,440220.5494742981,4461428.791698965,391.0436237182663,77.25651333124392,0.47806,3,2
Feature,"{ ""height"": 3.5489354133605953, ""confidence"": 0.98559999465942305 }",855,3,0.8472,,276.32229665293846,79.61629327002207,440030.4031497284,4461975.457303169,170.70222104911608,55.55228565564049,0.7055400000000001,3,2
Feature,"{ ""height"": 4.6926746368408203, ""confidence"": 0.97780001163482611 }",915,3,0.8792,3.0,184.3882783307405,61.469317571931,438516.2187996885,4462199.535221284,183.06303254389854,56.40428893241166,0.7078599999999999,3,0
Feature,"{ ""height"": 5.3491930961608887, ""confidence"": 0.99919998645782404 }",936,3,0.645,2.0,189.3184418740136,55.06583429672165,438684.5450689191,4462410.427505867,219.0075194204468,63.81396188182221,0.8544,3,0
Feature,"{ ""height"": 4.218470573425293, ""confidence"": 0.99550002813339211 }",947,3,0.2652,,104.21622134730428,41.41427924718951,439181.84658081195,4462094.214536699,119.32747734629763,44.29779172319375,0.51038,3,4
Feature,"{ ""height"": 5.6570472717285156, ""confidence"": 0.99190002679824807 }",951,3,0.8829,3.0,216.96616144349548,62.84707188918297,438608.0853216399,4462405.734111461,199.93276599053738,59.571040191438556,0.80174,3,0
Feature,"{ ""height"": 1.9406698942184442, ""confidence"": 0.99519997835159313 }",963,0,0.1475,3.0,108.17385082960088,53.300874448338895,438719.9935132679,4461107.190633253,182.7034668873361,55.02296069284836,0.6169,3,3
Feature,"{ ""height"": 3.6464428901672359, ""confidence"": 0.99029999971389704 }",978,3,0.8129,3.0,192.69879611530845,56.14732523781369,439203.97786310787,4462136.3199515175,95.97068075321097,39.535306840903715,0.31238,3,0
Feature,"{ ""height"": 1.980780124664306, ""confidence"": 0.99830001592636108 }",981,3,0.9061,3.0,91.49563217096352,50.37794912747614,438704.8429843264,4461666.592022263,121.05604985262676,52.32361264544276,0.89724,3,3
