Source_File,Class_ID,Class_Name,Confidence,Normalized_X_Center,Normalized_Y_Center,Normalized_Width,Normalized_Height
1044.png,2,Commercial,0.8657,0.484269,0.481383,0.5347,0.633296
1065.png,3,Residential,0.9094,0.503876,0.478257,0.498929,0.41897
1065.png,3,Residential,0.805,0.829288,0.155458,0.253397,0.310916
1078.png,3,Residential,0.8906,0.185528,0.841024,0.369428,0.310972
1078.png,3,Residential,0.8225,0.237673,0.275108,0.363066,0.390885
1115.png,3,Residential,0.8616,0.527891,0.501025,0.607379,0.534264
1149.png,3,Residential,0.8955,0.461032,0.858335,0.423842,0.280973
1149.png,3,Residential,0.8953,0.450516,0.46332,0.413316,0.358979
1149.png,3,Residential,0.8338,0.448879,0.088856,0.405727,0.177712
1173.png,3,Residential,0.9183,0.463844,0.446217,0.477574,0.417141
1173.png,3,Residential,0.8692,0.099498,0.451449,0.198996,0.416191
1173.png,3,Residential,0.8086,0.869835,0.181454,0.257042,0.362907
1173.png,3,Residential,0.7366,0.212154,0.946022,0.424308,0.106352
1173.png,3,Residential,0.4381,0.762228,0.942998,0.448588,0.114005
1173.png,3,Residential,0.1656,0.764977,0.96699,0.444262,0.06602
1176.png,3,Residential,0.9223,0.448936,0.508651,0.514396,0.529653
1211.png,3,Residential,0.925,0.506458,0.476779,0.36787,0.469922
1211.png,3,Residential,0.8511,0.44444,0.10056,0.362424,0.200613
1211.png,3,Residential,0.8099,0.437249,0.897505,0.429591,0.204991
1251.png,3,Residential,0.9123,0.495244,0.492015,0.454714,0.434787
1251.png,3,Residential,0.2777,0.885712,0.768819,0.223298,0.254102
1251.png,3,Residential,0.2651,0.45588,0.028528,0.365107,0.057055
1270.png,3,Residential,0.8377,0.476256,0.491478,0.347202,0.467312
1270.png,3,Residential,0.7613,0.449182,0.921801,0.323382,0.155899
1270.png,3,Residential,0.3076,0.459361,0.048915,0.331236,0.097831
1274.png,3,Residential,0.8775,0.912195,0.426469,0.175422,0.283132
1274.png,3,Residential,0.8676,0.503292,0.472643,0.506762,0.381085
1274.png,3,Residential,0.462,0.064924,0.404919,0.12981,0.274355
1283.png,3,Residential,0.8686,0.458116,0.490657,0.331267,0.382185
1283.png,3,Residential,0.3468,0.933109,0.715284,0.122896,0.516589
1290.png,3,Residential,0.9287,0.502644,0.464204,0.431124,0.412293
1290.png,3,Residential,0.8863,0.569817,0.885773,0.247337,0.213968
1290.png,3,Residential,0.8783,0.103384,0.437842,0.206343,0.308815
1303.png,3,Residential,0.9113,0.492882,0.488686,0.421168,0.427571
1303.png,3,Residential,0.7281,0.481212,0.888843,0.278581,0.222315
1303.png,3,Residential,0.5666,0.081624,0.413161,0.163248,0.539143
1303.png,3,Residential,0.2785,0.438482,0.101469,0.256845,0.202938
1376.png,3,Residential,0.826,0.512943,0.91514,0.339352,0.168565
1376.png,3,Residential,0.7581,0.450695,0.536855,0.340209,0.524873
1384.png,3,Residential,0.8933,0.483393,0.493927,0.459619,0.397145
1384.png,3,Residential,0.6172,0.096529,0.49013,0.192139,0.341595
1410.png,3,Residential,0.888,0.488119,0.480462,0.492762,0.383498
1449.png,3,Residential,0.7443,0.50198,0.504065,0.393759,0.479246
1454.png,3,Residential,0.8469,0.876544,0.516419,0.245975,0.492615
1457.png,3,Residential,0.829,0.45842,0.494578,0.489913,0.546769
1474.png,3,Residential,0.7858,0.461237,0.890061,0.400167,0.218918
1474.png,3,Residential,0.7764,0.478347,0.468742,0.296752,0.352537
1474.png,3,Residential,0.5224,0.455623,0.088079,0.35059,0.175304
148.png,3,Residential,0.9064,0.46479,0.493615,0.417456,0.464715
148.png,3,Residential,0.4527,0.643882,0.045433,0.337729,0.090866
1504.png,3,Residential,0.9114,0.44971,0.490151,0.338768,0.464924
