Source_File,Class_ID,Class_Name,Confidence,Normalized_X_Center,Normalized_Y_Center,Normalized_Width,Normalized_Height
1.png,3,Residential,0.9593,0.465489,0.479173,0.544224,0.460403
1.png,3,Residential,0.8278,0.822012,0.163935,0.355976,0.327871
10003.png,3,Residential,0.8629,0.442959,0.540079,0.375735,0.333566
10018.png,3,Residential,0.8666,0.222986,0.862566,0.425357,0.274868
10018.png,3,Residential,0.8204,0.128297,0.247749,0.255587,0.430978
10018.png,3,Residential,0.7895,0.479085,0.511786,0.417566,0.381775
10023.png,3,Residential,0.7338,0.533488,0.912609,0.41215,0.166659
10023.png,3,Residential,0.5888,0.503712,0.485661,0.499892,0.229204
10033.png,3,Residential,0.8752,0.496815,0.511033,0.467967,0.55618
10033.png,3,Residential,0.6875,0.958836,0.676802,0.082328,0.201323
10033.png,3,Residential,0.6801,0.533939,0.895182,0.371887,0.209526
1006.png,3,Residential,0.8703,0.474951,0.523608,0.466871,0.445054
1006.png,3,Residential,0.8605,0.111152,0.783447,0.222304,0.38145
1006.png,3,Residential,0.561,0.878745,0.863501,0.240833,0.272997
10064.png,3,Residential,0.8744,0.457623,0.503207,0.40523,0.390735
10064.png,3,Residential,0.8372,0.855096,0.507346,0.289807,0.3196
10064.png,3,Residential,0.7675,0.097365,0.495624,0.19473,0.507872
10066.png,3,Residential,0.9018,0.478108,0.118539,0.405215,0.237079
10066.png,3,Residential,0.886,0.475822,0.522016,0.376773,0.423942
10072.png,3,Residential,0.598,0.518262,0.506244,0.578876,0.347034
10088.png,3,Residential,0.8825,0.51019,0.520792,0.372898,0.378594
10090.png,3,Residential,0.8134,0.543985,0.52768,0.512799,0.437627
10106.png,3,Residential,0.9191,0.444734,0.499037,0.303183,0.440975
10106.png,3,Residential,0.8112,0.491966,0.902481,0.328716,0.195038
10106.png,3,Residential,0.5177,0.473345,0.079377,0.325394,0.15816
10121.png,0,Apartment,0.9382,0.531341,0.597453,0.598285,0.569908
10121.png,0,Apartment,0.8244,0.919073,0.537818,0.161853,0.652757
10126.png,3,Residential,0.9178,0.491668,0.524424,0.358048,0.531754
10126.png,3,Residential,0.7789,0.447335,0.064886,0.459594,0.129773
10127.png,3,Residential,0.7701,0.575432,0.891295,0.292071,0.217306
10127.png,3,Residential,0.7098,0.474587,0.476452,0.539755,0.535134
10127.png,0,Apartment,0.6193,0.084505,0.361731,0.167615,0.271815
10127.png,0,Apartment,0.5214,0.476912,0.476508,0.536617,0.534553
10129.png,3,Residential,0.8195,0.130973,0.484692,0.261946,0.291114
10129.png,3,Residential,0.7456,0.130016,0.941363,0.260031,0.116924
10133.png,3,Residential,0.7838,0.480166,0.510146,0.45948,0.330021
10133.png,3,Residential,0.7005,0.855832,0.498621,0.288336,0.257428
10134.png,3,Residential,0.8429,0.469223,0.455629,0.434979,0.307865
10141.png,3,Residential,0.8733,0.46494,0.525078,0.364624,0.458229
10141.png,3,Residential,0.8136,0.934133,0.490566,0.131734,0.305147
10148.png,2,Commercial,0.9368,0.383483,0.533138,0.766965,0.933723
10150.png,3,Residential,0.8742,0.45808,0.1476,0.464489,0.295199
10152.png,3,Residential,0.7936,0.511908,0.60084,0.476329,0.626306
10152.png,3,Residential,0.5396,0.508966,0.513015,0.475737,0.431655
10172.png,3,Residential,0.76,0.48426,0.499872,0.369467,0.496791
10172.png,3,Residential,0.5675,0.922538,0.668035,0.148856,0.362047
10201.png,2,Commercial,0.6307,0.461662,0.581918,0.346554,0.422581
10211.png,3,Residential,0.8573,0.887422,0.574748,0.222507,0.34679
10211.png,3,Residential,0.84,0.470667,0.532809,0.526819,0.459824
10214.png,3,Residential,0.868,0.471132,0.517796,0.410814,0.455709
10216.png,3,Residential,0.905,0.492074,0.48117,0.528942,0.514512
10216.png,3,Residential,0.8206,0.092654,0.768008,0.185307,0.431639
10218.png,3,Residential,0.8681,0.489528,0.487235,0.463721,0.356009
10225.png,3,Residential,0.8629,0.248582,0.843213,0.497164,0.313574
10225.png,3,Residential,0.8584,0.530369,0.181715,0.34461,0.36279
10225.png,3,Residential,0.7007,0.139243,0.111888,0.278486,0.223776
10225.png,3,Residential,0.6642,0.453724,0.512486,0.3289,0.297533
10237.png,3,Residential,0.8139,0.466828,0.530205,0.364171,0.359982
10237.png,3,Residential,0.586,0.489081,0.954333,0.470994,0.090976
10251.png,3,Residential,0.8695,0.478198,0.515493,0.446939,0.492235
10260.png,3,Residential,0.9331,0.469649,0.670441,0.518899,0.28437
10260.png,3,Residential,0.7017,0.082229,0.873699,0.164458,0.251952
10260.png,3,Residential,0.634,0.48801,0.348615,0.396068,0.288256
10261.png,2,Commercial,0.8393,0.492622,0.487358,0.641777,0.613943
10261.png,2,Commercial,0.6452,0.061335,0.321758,0.119588,0.643515
10266.png,3,Residential,0.9058,0.475025,0.528158,0.581193,0.343637
10268.png,3,Residential,0.8373,0.472206,0.890548,0.446315,0.21652
10268.png,3,Residential,0.8005,0.477603,0.505694,0.429476,0.44494
10268.png,3,Residential,0.6613,0.514167,0.103453,0.413098,0.206292
10269.png,3,Residential,0.8796,0.504424,0.11896,0.390408,0.237356
10269.png,3,Residential,0.8542,0.517905,0.894616,0.410291,0.210769
10269.png,3,Residential,0.8342,0.507702,0.503864,0.441017,0.453999
10283.png,3,Residential,0.9098,0.323762,0.559975,0.575681,0.386207
10283.png,3,Residential,0.8071,0.415735,0.911267,0.62208,0.177284
10291.png,3,Residential,0.8583,0.498633,0.597345,0.4882,0.256998
10291.png,3,Residential,0.8115,0.099018,0.61698,0.198036,0.468834
10302.png,0,Apartment,0.7621,0.477177,0.505506,0.483865,0.568259
10302.png,0,Apartment,0.6335,0.477635,0.399874,0.522137,0.799748
10302.png,0,Apartment,0.5105,0.496031,0.101958,0.481417,0.203916
10303.png,3,Residential,0.8748,0.501981,0.369661,0.422531,0.494424
10325.png,3,Residential,0.8985,0.8015,0.8734,0.324313,0.253199
10325.png,2,Commercial,0.6076,0.505658,0.490491,0.589497,0.343659
1033.png,3,Residential,0.8889,0.807972,0.897451,0.383499,0.205097
10363.png,2,Commercial,0.5927,0.470674,0.484486,0.354947,0.268885
10366.png,3,Residential,0.9107,0.497378,0.522586,0.391975,0.540367
10366.png,3,Residential,0.8472,0.50784,0.103681,0.461589,0.206272
10366.png,3,Residential,0.8467,0.522831,0.906503,0.502312,0.185444
1040.png,3,Residential,0.8162,0.100576,0.320506,0.200824,0.505859
1040.png,3,Residential,0.652,0.478051,0.477741,0.560684,0.442421
10413.png,0,Apartment,0.6788,0.487639,0.637783,0.395521,0.715673
10425.png,3,Residential,0.6855,0.088291,0.523314,0.175189,0.49315
10425.png,3,Residential,0.6233,0.485579,0.61718,0.46225,0.497127
10425.png,3,Residential,0.5323,0.908768,0.509786,0.182464,0.352867
10429.png,3,Residential,0.8232,0.517266,0.459518,0.366757,0.365438
10429.png,3,Residential,0.6044,0.180583,0.469137,0.361165,0.87693
10435.png,3,Residential,0.7535,0.474525,0.496398,0.336729,0.338308
10435.png,3,Residential,0.7309,0.902567,0.490232,0.185325,0.283427
10457.png,3,Residential,0.7809,0.493196,0.523471,0.392683,0.298191
10457.png,3,Residential,0.7789,0.595263,0.876449,0.394265,0.241787
10457.png,3,Residential,0.5985,0.596671,0.140278,0.459894,0.280556
10464.png,2,Commercial,0.5247,0.484079,0.830996,0.968159,0.338009
10465.png,3,Residential,0.8228,0.482164,0.507,0.413277,0.299048
10465.png,3,Residential,0.8184,0.42453,0.854139,0.32133,0.238662
10472.png,3,Residential,0.8855,0.509369,0.52974,0.349322,0.305359
10472.png,3,Residential,0.8611,0.530309,0.89335,0.334181,0.213301
10496.png,3,Residential,0.666,0.499391,0.506679,0.414797,0.384633
10503.png,3,Residential,0.8942,0.782279,0.825501,0.435442,0.348998
10503.png,3,Residential,0.881,0.482459,0.484375,0.508693,0.501998
10504.png,3,Residential,0.9733,0.331992,0.724954,0.663984,0.550093
10504.png,3,Residential,0.8331,0.32017,0.104687,0.572902,0.209373
10508.png,3,Residential,0.9138,0.454247,0.495228,0.454623,0.435477
10508.png,3,Residential,0.8601,0.864485,0.732235,0.271029,0.32962
10532.png,2,Commercial,0.8299,0.464454,0.499716,0.422766,0.48326
10559.png,3,Residential,0.9021,0.500941,0.526322,0.492648,0.406585
10559.png,3,Residential,0.8701,0.444207,0.89541,0.436021,0.209083
10559.png,3,Residential,0.5667,0.066556,0.957441,0.133112,0.084648
10562.png,2,Commercial,0.6499,0.500857,0.391883,0.984568,0.783767
10571.png,3,Residential,0.7716,0.501085,0.499371,0.465812,0.576587
10593.png,3,Residential,0.8316,0.121042,0.592775,0.242083,0.440852
10593.png,3,Residential,0.8263,0.901771,0.572367,0.196458,0.319518
10601.png,0,Apartment,0.5592,0.462473,0.841912,0.527767,0.316175
10601.png,3,Residential,0.5491,0.061799,0.82634,0.121627,0.34732
10613.png,0,Apartment,0.6736,0.494356,0.5528,0.532746,0.499128
10619.png,3,Residential,0.6647,0.917731,0.149823,0.159079,0.121391
10619.png,3,Residential,0.6644,0.425902,0.492475,0.407684,0.40428
10623.png,3,Residential,0.8643,0.43432,0.880461,0.457307,0.238278
10623.png,3,Residential,0.7855,0.482481,0.496902,0.381553,0.385744
10626.png,3,Residential,0.8605,0.470942,0.492569,0.279116,0.440423
10626.png,3,Residential,0.6922,0.127616,0.467063,0.255231,0.470513
10655.png,3,Residential,0.8255,0.565444,0.495856,0.260076,0.456918
10655.png,3,Residential,0.641,0.617672,0.056603,0.270094,0.113207
10659.png,0,Apartment,0.6403,0.409428,0.06776,0.5388,0.135519
10659.png,3,Residential,0.5104,0.467425,0.468766,0.485535,0.4096
10668.png,3,Residential,0.8655,0.475621,0.501686,0.344296,0.441574
10668.png,0,Apartment,0.5203,0.498506,0.127707,0.690504,0.255413
10681.png,2,Commercial,0.8064,0.505191,0.535687,0.540661,0.738137
10694.png,2,Commercial,0.8771,0.498435,0.537564,0.435099,0.336386
10716.png,3,Residential,0.913,0.490499,0.501853,0.44025,0.361193
10716.png,3,Residential,0.5919,0.483269,0.878371,0.402649,0.242687
10718.png,3,Residential,0.8781,0.496671,0.536351,0.384495,0.502165
10718.png,3,Residential,0.8647,0.860634,0.629507,0.278731,0.467723
10719.png,3,Residential,0.7871,0.450215,0.533173,0.362512,0.462271
10725.png,3,Residential,0.7989,0.120497,0.447737,0.240995,0.37808
10725.png,3,Residential,0.7134,0.500076,0.524535,0.296466,0.380388
10727.png,3,Residential,0.71,0.074573,0.142102,0.149146,0.284204
10727.png,3,Residential,0.507,0.46751,0.509848,0.366525,0.458517
10727.png,3,Residential,0.5,0.059697,0.750448,0.119394,0.49623
1073.png,3,Residential,0.7286,0.552427,0.082989,0.359439,0.165867
1073.png,3,Residential,0.7227,0.491606,0.538294,0.351766,0.521154
1073.png,3,Residential,0.641,0.161545,0.780942,0.319677,0.27113
10742.png,3,Residential,0.7856,0.086622,0.419409,0.173243,0.48196
10742.png,3,Residential,0.6974,0.48319,0.535251,0.426862,0.28978
10760.png,3,Residential,0.8556,0.534963,0.650863,0.417876,0.689821
10760.png,3,Residential,0.6421,0.095041,0.684039,0.190083,0.631922
10765.png,0,Apartment,0.9648,0.479533,0.490766,0.575049,0.668389
10769.png,3,Residential,0.9124,0.884059,0.556675,0.230304,0.381083
10769.png,3,Residential,0.872,0.593257,0.528412,0.236083,0.432218
10779.png,3,Residential,0.7113,0.498474,0.360565,0.399287,0.72113
10780.png,3,Residential,0.767,0.87888,0.546652,0.24224,0.429271
10780.png,3,Residential,0.7575,0.11476,0.528221,0.22952,0.380474
10780.png,3,Residential,0.7152,0.494191,0.562961,0.406564,0.355877
10784.png,3,Residential,0.8894,0.118982,0.524188,0.237964,0.404483
10784.png,3,Residential,0.8421,0.478335,0.567228,0.376319,0.328715
10784.png,3,Residential,0.7577,0.87675,0.487983,0.2465,0.325116
10786.png,3,Residential,0.7647,0.548779,0.885067,0.358051,0.229865
10786.png,3,Residential,0.6212,0.431153,0.528936,0.482288,0.334341
10804.png,3,Residential,0.5778,0.507881,0.518457,0.387588,0.454215
10804.png,3,Residential,0.574,0.081544,0.553504,0.163088,0.565037
10811.png,0,Apartment,0.9012,0.489541,0.512305,0.484563,0.711541
10811.png,3,Residential,0.8053,0.836339,0.162235,0.278584,0.211685
10813.png,2,Commercial,0.9201,0.473752,0.473592,0.659685,0.522229
10849.png,3,Residential,0.9065,0.49523,0.512516,0.453167,0.397555
10854.png,3,Residential,0.8458,0.497924,0.518852,0.385687,0.463023
10862.png,3,Residential,0.8971,0.47081,0.47056,0.422396,0.444629
10862.png,3,Residential,0.7395,0.189359,0.161679,0.37227,0.323358
10879.png,2,Commercial,0.699,0.86646,0.145366,0.267079,0.290732
10879.png,2,Commercial,0.5048,0.497443,0.4762,0.731962,0.524434
10886.png,3,Residential,0.9213,0.469738,0.516329,0.417211,0.470855
10937.png,3,Residential,0.8916,0.483559,0.873223,0.360304,0.253553
10937.png,3,Residential,0.8704,0.470984,0.481538,0.38815,0.324445
10937.png,3,Residential,0.7174,0.551614,0.130047,0.272177,0.260095
10941.png,3,Residential,0.855,0.473952,0.536655,0.357479,0.340481
10952.png,3,Residential,0.5234,0.488675,0.518372,0.467838,0.32295
10981.png,2,Commercial,0.8701,0.505962,0.504982,0.67257,0.494943
10988.png,0,Apartment,0.7697,0.193127,0.900161,0.383645,0.199678
10988.png,3,Residential,0.7089,0.881442,0.47289,0.230497,0.504993
10989.png,3,Residential,0.7766,0.280075,0.830012,0.298087,0.339977
10989.png,3,Residential,0.6365,0.474772,0.502859,0.325592,0.269305
10989.png,3,Residential,0.5098,0.908615,0.34016,0.182771,0.68032
10994.png,3,Residential,0.8178,0.093648,0.415523,0.185307,0.590386
10994.png,3,Residential,0.71,0.935132,0.414146,0.129737,0.565636
10994.png,3,Residential,0.6444,0.468257,0.57564,0.303231,0.246298
10999.png,3,Residential,0.8642,0.503314,0.512705,0.353048,0.321094
10999.png,3,Residential,0.8167,0.868055,0.576788,0.263891,0.356823
11000.png,3,Residential,0.7049,0.467228,0.534324,0.239967,0.480551
11002.png,3,Residential,0.7849,0.089535,0.586283,0.176876,0.333441
11002.png,3,Residential,0.7764,0.489488,0.510426,0.424731,0.457591
11003.png,3,Residential,0.8389,0.747701,0.19518,0.504598,0.39036
11003.png,3,Residential,0.7078,0.559117,0.788972,0.31946,0.28663
11003.png,3,Residential,0.6021,0.563169,0.662384,0.321444,0.573926
11004.png,3,Residential,0.8123,0.50638,0.500037,0.538922,0.481373
11011.png,3,Residential,0.7752,0.426548,0.483727,0.334913,0.36332
11011.png,3,Residential,0.7592,0.844235,0.912346,0.307882,0.171842
11045.png,3,Residential,0.9073,0.459685,0.512348,0.343475,0.431226
11055.png,3,Residential,0.8159,0.502035,0.122128,0.456846,0.243233
11055.png,3,Residential,0.7777,0.494608,0.470019,0.448174,0.391455
11058.png,3,Residential,0.8164,0.521757,0.488118,0.366283,0.363627
11065.png,3,Residential,0.8982,0.481591,0.498372,0.49419,0.524972
11065.png,3,Residential,0.8519,0.101257,0.185638,0.202513,0.371276
11065.png,3,Residential,0.8005,0.579705,0.907669,0.419779,0.184662
11068.png,3,Residential,0.856,0.894923,0.701791,0.210153,0.596418
11068.png,3,Residential,0.7045,0.516799,0.912211,0.233466,0.175577
11068.png,3,Residential,0.6325,0.514979,0.556476,0.426677,0.368859
11091.png,3,Residential,0.7462,0.703928,0.19877,0.592145,0.384884
11110.png,3,Residential,0.8923,0.777805,0.6986,0.440813,0.532166
11110.png,3,Residential,0.8055,0.769433,0.141738,0.4569,0.281588
11115.png,3,Residential,0.8438,0.533046,0.542033,0.427172,0.418199
11115.png,3,Residential,0.7936,0.612637,0.123533,0.580443,0.247065
11116.png,3,Residential,0.8154,0.478448,0.500251,0.425465,0.487345
11116.png,3,Residential,0.6632,0.464209,0.118741,0.432018,0.237481
11123.png,3,Residential,0.6714,0.453049,0.51699,0.346724,0.408629
11123.png,3,Residential,0.6573,0.38779,0.109366,0.36043,0.218731
11126.png,3,Residential,0.882,0.140662,0.784731,0.281324,0.374423
11126.png,3,Residential,0.73,0.052003,0.250807,0.104006,0.419458
11126.png,3,Residential,0.5913,0.505433,0.513894,0.453825,0.427722
11130.png,3,Residential,0.9301,0.470629,0.506455,0.436324,0.477679
11141.png,3,Residential,0.9027,0.498582,0.54396,0.59036,0.53602
11158.png,2,Commercial,0.7786,0.519965,0.552535,0.756912,0.504215
11158.png,2,Commercial,0.5235,0.520504,0.449167,0.787229,0.733495
11159.png,3,Residential,0.7117,0.516545,0.571979,0.442707,0.395393
11159.png,3,Residential,0.5864,0.845605,0.767409,0.301375,0.415691
11174.png,3,Residential,0.8942,0.49036,0.518588,0.423158,0.367981
11174.png,3,Residential,0.7597,0.864337,0.37657,0.271325,0.671426
11174.png,3,Residential,0.6459,0.868052,0.494683,0.261386,0.39872
11187.png,3,Residential,0.7083,0.463384,0.51284,0.390199,0.351657
112.png,3,Residential,0.868,0.487423,0.511449,0.520699,0.459834
112.png,3,Residential,0.7236,0.104144,0.525586,0.208289,0.487468
11202.png,3,Residential,0.7086,0.773785,0.88971,0.352012,0.22058
11202.png,3,Residential,0.6836,0.372712,0.442233,0.469141,0.392233
11243.png,3,Residential,0.8696,0.149979,0.298717,0.299958,0.38838
11243.png,3,Residential,0.8625,0.175495,0.850837,0.35099,0.298326
11245.png,3,Residential,0.7773,0.128852,0.655957,0.255797,0.507346
11245.png,3,Residential,0.7199,0.821828,0.605226,0.316443,0.434352
11245.png,3,Residential,0.6621,0.467183,0.562551,0.346313,0.446805
11246.png,3,Residential,0.8012,0.076794,0.4898,0.153461,0.500883
11246.png,3,Residential,0.7935,0.476265,0.507374,0.414838,0.300595
11251.png,3,Residential,0.8296,0.454569,0.517127,0.447384,0.495245
11257.png,3,Residential,0.9253,0.488911,0.523593,0.511566,0.402229
11283.png,3,Residential,0.9009,0.447899,0.50017,0.395723,0.494127
11285.png,3,Residential,0.8565,0.447243,0.524411,0.34909,0.442488
11285.png,3,Residential,0.5727,0.592588,0.087383,0.552007,0.174146
11291.png,3,Residential,0.9118,0.494639,0.526776,0.454881,0.436597
11291.png,3,Residential,0.7417,0.053829,0.412869,0.107658,0.542528
11296.png,3,Residential,0.8965,0.509637,0.500354,0.413287,0.428719
11296.png,3,Residential,0.633,0.73055,0.877747,0.336146,0.244163
11296.png,3,Residential,0.6226,0.463432,0.097947,0.552927,0.195895
11314.png,3,Residential,0.5578,0.342896,0.184621,0.685792,0.368575
11315.png,0,Apartment,0.8835,0.478377,0.508292,0.607445,0.647632
11317.png,3,Residential,0.5407,0.553673,0.18274,0.742089,0.365479
11325.png,3,Residential,0.892,0.507253,0.502747,0.470698,0.304809
11325.png,3,Residential,0.8146,0.875706,0.477264,0.248188,0.355143
11325.png,3,Residential,0.7065,0.060508,0.602775,0.120433,0.434537
11343.png,3,Residential,0.8628,0.494263,0.498813,0.539202,0.55375
11343.png,3,Residential,0.8303,0.172675,0.796643,0.345349,0.393108
11347.png,3,Residential,0.6019,0.097032,0.831678,0.194063,0.324496
11369.png,3,Residential,0.8696,0.450622,0.116864,0.477526,0.233729
11369.png,3,Residential,0.8474,0.477081,0.88688,0.4036,0.226241
11369.png,3,Residential,0.7605,0.466341,0.501771,0.334184,0.338856
11369.png,3,Residential,0.7403,0.095465,0.272857,0.190931,0.125811
11369.png,3,Residential,0.5637,0.087469,0.731972,0.174938,0.536057
11384.png,0,Apartment,0.8903,0.481258,0.400607,0.495702,0.626817
11385.png,3,Residential,0.6937,0.554022,0.524732,0.671221,0.605846
11385.png,3,Residential,0.5741,0.58053,0.613478,0.745171,0.773044
114.png,3,Residential,0.9117,0.289371,0.872599,0.578742,0.253683
114.png,3,Residential,0.8779,0.510731,0.473878,0.492213,0.526296
