epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,68.837,1.61443,1.7451,2.03908,0.71218,0.32348,0.31149,0.16439,1.60101,1.48429,2.19791,0.000885523,0.000885523,0.000885523
43,70.382,1.60931,1.73159,2.03268,0.69027,0.29343,0.28386,0.15984,1.50494,1.46932,2.10875,0.000880023,0.000880023,0.000880023
44,71.9212,1.61463,1.68701,2.04014,0.78979,0.28394,0.35264,0.18685,1.51535,1.5003,2.13301,0.000874524,0.000874524,0.000874524
45,73.5227,1.62251,1.67133,2.03719,0.72374,0.3506,0.38288,0.21871,1.51344,1.36929,2.11666,0.000869024,0.000869024,0.000869024
46,75.0394,1.62453,1.65253,2.04792,0.68759,0.3614,0.32355,0.1716,1.553,1.49883,2.14674,0.000863525,0.000863525,0.000863525
47,76.5691,1.62445,1.70743,2.01307,0.73142,0.33284,0.41041,0.23636,1.51629,1.35856,2.0752,0.000858025,0.000858025,0.000858025
48,78.1546,1.58624,1.63909,1.98824,0.70224,0.36554,0.35328,0.19941,1.48638,1.39956,2.07114,0.000852526,0.000852526,0.000852526
49,79.7211,1.59272,1.69878,2.04558,0.47814,0.35352,0.33006,0.19108,1.4715,1.36943,2.08648,0.000847026,0.000847026,0.000847026
50,81.2543,1.57409,1.61221,2.01477,0.49293,0.36152,0.34538,0.18089,1.5598,1.3801,2.1876,0.000841527,0.000841527,0.000841527
51,82.7759,1.61216,1.61707,2.03718,0.76688,0.31461,0.3662,0.20645,1.50581,1.34804,2.11686,0.000836027,0.000836027,0.000836027
52,84.3575,1.5903,1.68531,2.03845,0.68515,0.39084,0.38209,0.22483,1.43151,1.30957,2.0264,0.000830528,0.000830528,0.000830528
53,85.9815,1.55506,1.62221,2.00244,0.72898,0.37491,0.3784,0.21903,1.47994,1.38146,2.07164,0.000825029,0.000825029,0.000825029
54,87.5095,1.55554,1.62692,2.00571,0.7243,0.3368,0.37957,0.22721,1.48163,1.28439,2.08443,0.000819529,0.000819529,0.000819529
55,89.0032,1.5498,1.5744,2.00797,0.78046,0.30895,0.38224,0.2313,1.4213,1.29785,2.04176,0.00081403,0.00081403,0.00081403
56,90.5363,1.56302,1.59184,1.99739,0.79076,0.35222,0.41209,0.24528,1.43676,1.31541,2.03355,0.00080853,0.00080853,0.00080853
57,92.08,1.54605,1.55082,1.98648,0.80876,0.3613,0.43018,0.26546,1.43367,1.23505,2.04029,0.000803031,0.000803031,0.000803031
58,93.6226,1.54195,1.5333,1.97966,0.80353,0.36089,0.43961,0.27128,1.41089,1.24508,2.00039,0.000797531,0.000797531,0.000797531
59,95.1766,1.52747,1.52053,1.94561,0.77899,0.40363,0.45944,0.29302,1.37751,1.19631,1.98233,0.000792032,0.000792032,0.000792032
60,96.7307,1.51982,1.50721,1.94741,0.71513,0.3334,0.35182,0.21652,1.37051,1.398,1.97642,0.000786532,0.000786532,0.000786532
61,98.3247,1.52155,1.53437,1.93228,0.7932,0.39966,0.42245,0.2575,1.36119,1.21659,1.9684,0.000781033,0.000781033,0.000781033
62,99.8433,1.49432,1.4828,1.92786,0.83572,0.35463,0.43844,0.27002,1.40896,1.18488,2.03818,0.000775534,0.000775534,0.000775534
63,101.334,1.54424,1.48353,1.9729,0.76744,0.35837,0.4764,0.30339,1.39583,1.23294,1.988,0.000770034,0.000770034,0.000770034
64,102.896,1.5194,1.44866,1.94835,0.75767,0.40922,0.46761,0.29645,1.37729,1.1541,1.96342,0.000764535,0.000764535,0.000764535
65,104.393,1.44912,1.42688,1.90604,0.80518,0.40662,0.46644,0.28824,1.37741,1.2146,1.96763,0.000759035,0.000759035,0.000759035
66,105.927,1.50505,1.45222,1.91572,0.787,0.38215,0.43644,0.26937,1.31594,1.17336,1.9041,0.000753536,0.000753536,0.000753536
67,107.465,1.50344,1.47798,1.92577,0.7495,0.39978,0.41966,0.25167,1.40555,1.18996,1.98949,0.000748036,0.000748036,0.000748036
68,108.999,1.46135,1.43761,1.91686,0.78248,0.40101,0.50189,0.3034,1.36649,1.13156,1.96376,0.000742537,0.000742537,0.000742537
69,110.529,1.47622,1.43949,1.91673,0.84498,0.38172,0.49072,0.31343,1.306,1.15923,1.92096,0.000737037,0.000737037,0.000737037
70,112.169,1.46318,1.43588,1.89513,0.84209,0.37196,0.46225,0.30138,1.321,1.15179,1.93223,0.000731538,0.000731538,0.000731538
71,113.67,1.47234,1.43102,1.90206,0.55951,0.35933,0.42117,0.26217,1.33673,1.19046,1.93989,0.000726038,0.000726038,0.000726038
72,115.208,1.44371,1.41681,1.87298,0.5753,0.42136,0.5301,0.34872,1.27617,1.07427,1.88552,0.000720539,0.000720539,0.000720539
73,116.777,1.42915,1.40851,1.86155,0.79879,0.38925,0.64394,0.42308,1.29206,1.06993,1.87493,0.00071504,0.00071504,0.00071504
74,118.334,1.45403,1.39798,1.8762,0.83969,0.38476,0.67556,0.42786,1.28235,1.06119,1.8686,0.00070954,0.00070954,0.00070954
75,119.856,1.45519,1.42554,1.88418,0.75918,0.42475,0.48347,0.31088,1.29018,1.1087,1.88274,0.000704041,0.000704041,0.000704041
76,121.397,1.43983,1.35734,1.86526,0.85541,0.40172,0.49899,0.33387,1.30921,1.02789,1.90691,0.000698541,0.000698541,0.000698541
