Source_File,Class_ID,Class_Name,Confidence,Normalized_X_Center,Normalized_Y_Center,Normalized_Width,Normalized_Height
1002.png,3,Residential,0.9078,0.500546,0.486722,0.438807,0.337271
1002.png,3,Residential,0.8535,0.905555,0.488749,0.188873,0.383884
1002.png,3,Residential,0.6372,0.095241,0.382769,0.189993,0.444369
1004.png,3,Residential,0.8911,0.4828,0.45872,0.313383,0.43464
1004.png,3,Residential,0.6029,0.566347,0.083825,0.474982,0.167651
1004.png,3,Residential,0.4242,0.664812,0.950386,0.620099,0.098946
1004.png,3,Residential,0.2243,0.503273,0.077203,0.356525,0.154407
1013.png,3,Residential,0.8517,0.547677,0.428046,0.398095,0.353349
1013.png,3,Residential,0.2378,0.634562,0.06368,0.413975,0.12736
1013.png,3,Residential,0.155,0.637776,0.032367,0.413682,0.064734
1024.png,3,Residential,0.8814,0.899972,0.408855,0.200056,0.266588
1024.png,3,Residential,0.8547,0.106547,0.466413,0.213094,0.455209
1024.png,3,Residential,0.7219,0.512487,0.407616,0.452865,0.25792
1028.png,3,Residential,0.8716,0.502824,0.438965,0.415386,0.409674
1028.png,3,Residential,0.8492,0.868883,0.183736,0.259089,0.274531
1028.png,3,Residential,0.3741,0.47612,0.920748,0.235433,0.151611
1028.png,3,Residential,0.1127,0.063619,0.576095,0.127238,0.471088
1047.png,3,Residential,0.7669,0.863589,0.484228,0.26087,0.299431
1047.png,3,Residential,0.1557,0.276995,0.020378,0.553989,0.040756
1067.png,3,Residential,0.8671,0.061584,0.405747,0.123169,0.38762
1067.png,3,Residential,0.8602,0.469953,0.444172,0.381118,0.33144
1067.png,3,Residential,0.3668,0.962409,0.456391,0.075183,0.350456
1085.png,3,Residential,0.8878,0.228662,0.874443,0.455447,0.251113
1085.png,3,Residential,0.8667,0.497577,0.459612,0.340594,0.497238
1085.png,3,Residential,0.5335,0.486141,0.056686,0.329018,0.113372
1085.png,3,Residential,0.5159,0.135776,0.031856,0.268523,0.062724
1093.png,3,Residential,0.8939,0.535696,0.461612,0.358089,0.430179
1093.png,3,Residential,0.6762,0.562853,0.881713,0.403566,0.236573
1093.png,3,Residential,0.1641,0.524429,0.03645,0.40931,0.072899
1093.png,3,Residential,0.162,0.113446,0.616683,0.180168,0.226425
1093.png,3,Residential,0.1032,0.439435,0.045894,0.485008,0.091788
1113.png,3,Residential,0.8936,0.509657,0.45396,0.331301,0.372521
1113.png,3,Residential,0.1047,0.616044,0.01596,0.335852,0.03192
112.png,3,Residential,0.8968,0.506873,0.469858,0.327397,0.455631
112.png,3,Residential,0.8568,0.553905,0.911423,0.513881,0.175865
112.png,3,Residential,0.6394,0.607171,0.025575,0.578841,0.05115
1136.png,3,Residential,0.8376,0.524845,0.427529,0.511441,0.30967
1156.png,2,Commercial,0.801,0.520463,0.47392,0.715081,0.541892
1156.png,2,Commercial,0.1072,0.457992,0.034739,0.683182,0.069477
1166.png,3,Residential,0.8754,0.486683,0.480655,0.332686,0.463194
1166.png,3,Residential,0.5366,0.912272,0.350804,0.168333,0.244489
1182.png,3,Residential,0.8753,0.11184,0.177877,0.223681,0.286101
1182.png,3,Residential,0.8656,0.475781,0.41125,0.490851,0.413245
1182.png,3,Residential,0.8062,0.576422,0.865529,0.235602,0.268941
1257.png,3,Residential,0.8478,0.485425,0.452774,0.362195,0.387007
1322.png,3,Residential,0.9111,0.501159,0.474296,0.437775,0.31275
1322.png,3,Residential,0.8898,0.096217,0.448681,0.192434,0.298342
1322.png,3,Residential,0.6472,0.881055,0.443523,0.23789,0.313336
134.png,3,Residential,0.9264,0.477598,0.476209,0.369111,0.434033
134.png,3,Residential,0.8686,0.481609,0.092619,0.316856,0.185239
134.png,3,Residential,0.7857,0.495918,0.881897,0.373112,0.236206
1395.png,3,Residential,0.8769,0.531401,0.463545,0.286871,0.465059
1395.png,3,Residential,0.8445,0.495196,0.922362,0.366589,0.155276
1395.png,3,Residential,0.1375,0.094182,0.093845,0.188363,0.18769
1414.png,3,Residential,0.9265,0.51229,0.449518,0.452429,0.295433
1414.png,3,Residential,0.8508,0.074456,0.675004,0.148504,0.622605
1414.png,3,Residential,0.823,0.913602,0.463937,0.172796,0.361451
1421.png,3,Residential,0.8771,0.565376,0.471554,0.296954,0.467911
1421.png,3,Residential,0.8665,0.580274,0.899977,0.322484,0.200047
1421.png,3,Residential,0.7657,0.081305,0.951188,0.161399,0.097624
1421.png,3,Residential,0.1449,0.195189,0.085843,0.388934,0.171686
1422.png,3,Residential,0.9101,0.51161,0.493002,0.452051,0.334859
1422.png,3,Residential,0.6529,0.906563,0.465536,0.186875,0.313602
1422.png,3,Residential,0.5833,0.114111,0.483834,0.227969,0.259465
1450.png,0,Apartment,0.6564,0.448108,0.522262,0.619993,0.430409
1450.png,3,Residential,0.5286,0.448565,0.521833,0.624073,0.426925
1450.png,0,Apartment,0.4855,0.928099,0.467087,0.143802,0.934174
1450.png,0,Apartment,0.2676,0.567013,0.053719,0.554318,0.105754
1450.png,3,Residential,0.242,0.499116,0.052249,0.410642,0.104084
1450.png,3,Residential,0.2031,0.444934,0.051909,0.288576,0.103819
1450.png,2,Commercial,0.146,0.49404,0.897334,0.479957,0.205333
1472.png,3,Residential,0.9083,0.486371,0.485513,0.402258,0.4303
1472.png,3,Residential,0.1483,0.515349,0.971514,0.306392,0.056972
1485.png,3,Residential,0.8607,0.473367,0.435218,0.444936,0.356442
1485.png,3,Residential,0.7867,0.885617,0.209394,0.227108,0.416888
1488.png,3,Residential,0.8814,0.505159,0.452007,0.395186,0.464037
1488.png,3,Residential,0.1912,0.939614,0.555781,0.120529,0.340363
150.png,3,Residential,0.8847,0.498917,0.45934,0.304318,0.494319
150.png,3,Residential,0.4044,0.554479,0.064337,0.379906,0.128674
1507.png,3,Residential,0.8889,0.483101,0.502549,0.351324,0.567772
1507.png,3,Residential,0.618,0.490751,0.946899,0.320234,0.106202
1507.png,3,Residential,0.5185,0.464097,0.079941,0.439252,0.159881
1591.png,3,Residential,0.9171,0.467292,0.434597,0.456431,0.412025
1591.png,3,Residential,0.7857,0.901757,0.512322,0.196487,0.342298
1591.png,3,Residential,0.1891,0.019712,0.469052,0.039073,0.296141
1591.png,3,Residential,0.1002,0.027209,0.467844,0.053786,0.313751
160.png,3,Residential,0.9316,0.495034,0.469316,0.44871,0.308823
1607.png,3,Residential,0.4777,0.499976,0.45065,0.376973,0.516808
1607.png,3,Residential,0.3765,0.46145,0.039387,0.340948,0.078774
1607.png,3,Residential,0.2528,0.502794,0.560861,0.380768,0.722384
161.png,3,Residential,0.8426,0.599675,0.715326,0.684654,0.569348
161.png,3,Residential,0.2604,0.144049,0.256753,0.28802,0.513352
161.png,3,Residential,0.1293,0.457866,0.168438,0.366533,0.336792
1633.png,3,Residential,0.8704,0.490663,0.464233,0.428104,0.489476
1633.png,3,Residential,0.8416,0.099995,0.738161,0.195651,0.266039
1633.png,3,Residential,0.7223,0.49715,0.06519,0.360663,0.13038
1633.png,3,Residential,0.2635,0.140568,0.290791,0.275639,0.426413
1636.png,3,Residential,0.8366,0.530909,0.411811,0.511348,0.449615
1636.png,3,Residential,0.4311,0.651395,0.891479,0.415025,0.217042
1648.png,3,Residential,0.8465,0.49082,0.477157,0.339925,0.465207
1648.png,3,Residential,0.498,0.586518,0.960348,0.312702,0.079136
1658.png,3,Residential,0.9008,0.529816,0.446526,0.362528,0.407671
1658.png,3,Residential,0.6596,0.657684,0.898923,0.389059,0.202154
1658.png,3,Residential,0.3859,0.767523,0.040718,0.343204,0.080856
1717.png,3,Residential,0.8945,0.544515,0.463661,0.298048,0.454597
1717.png,3,Residential,0.7316,0.537056,0.085203,0.310411,0.170389
1717.png,3,Residential,0.4987,0.58428,0.886146,0.270772,0.227518
1721.png,3,Residential,0.8913,0.475816,0.468035,0.490858,0.307872
1721.png,3,Residential,0.8079,0.054626,0.513396,0.109253,0.343936
1721.png,3,Residential,0.5309,0.953671,0.46542,0.092658,0.340788
1728.png,3,Residential,0.8996,0.488023,0.443273,0.348167,0.477214
1728.png,3,Residential,0.8807,0.514343,0.893626,0.357427,0.21191
1728.png,3,Residential,0.6316,0.499773,0.063248,0.359217,0.126495
1752.png,0,Apartment,0.6346,0.729992,0.817419,0.528141,0.365161
1752.png,3,Residential,0.4368,0.731478,0.812883,0.529107,0.374234
1752.png,3,Residential,0.1727,0.183131,0.872504,0.366262,0.25215
1755.png,3,Residential,0.9102,0.532769,0.460062,0.474838,0.364294
